file,category,component,maturity,strengths,issues,total_lines,code_lines,comment_lines,comment_ratio,pragma_once,include_guard,nonpref_macros,macro_defines,using_namespace,todo_count,doc_name_matches,dedicated_test_cpp,direct_test_includes,direct_bench_includes,c++17_exit,c++20_exit,c++20_first,c++20_errors,c++17_errors,c++17_first,risk_category,recommended_fix,priority
tests/test_RateLimiter.cpp,test_cpp,RateLimiter,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness.,Does not use TEST_CASE macros (older style / inconsistent). | No main() (relies on external runner).,120,72,15,0.172,False,False,0,0,False,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide. Add the standard conditional main() block (guarded by ENABLE_TEST_APPLICATION) or ensure the test runner provides main consistently.,P2
tests/test_Reflection.cpp,test_cpp,Reflection,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness.,Does not use TEST_CASE macros (older style / inconsistent). | No main() (relies on external runner).,461,316,39,0.11,False,False,0,0,True,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide. Add the standard conditional main() block (guarded by ENABLE_TEST_APPLICATION) or ensure the test runner provides main consistently.,P2
tests/test_ScopeGuard.cpp,test_cpp,ScopeGuard,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness.,Does not use TEST_CASE macros (older style / inconsistent). | No main() (relies on external runner).,1311,899,157,0.149,False,False,0,0,True,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide. Add the standard conditional main() block (guarded by ENABLE_TEST_APPLICATION) or ensure the test runner provides main consistently.,P2
tests/test_ScopeGuardExpected.cpp,test_cpp,ScopeGuardExpected,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness.,Does not use TEST_CASE macros (older style / inconsistent). | No main() (relies on external runner).,534,366,65,0.151,False,False,0,0,True,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide. Add the standard conditional main() block (guarded by ENABLE_TEST_APPLICATION) or ensure the test runner provides main consistently.,P2
tests/test_Signal.cpp,test_cpp,Signal,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness. | Provides ENABLE_TEST_APPLICATION main().,Does not use TEST_CASE macros (older style / inconsistent).,890,681,0,0.0,False,False,0,0,False,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide.,P2
tests/test_SmallVector.cpp,test_cpp,SmallVector,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness. | Provides ENABLE_TEST_APPLICATION main().,Does not use TEST_CASE macros (older style / inconsistent). | Contains TODO/FIXME markers (1).,2268,1728,127,0.068,False,False,0,0,False,1,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide.,P2
tests/test_SparseSet.cpp,test_cpp,SparseSet,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness.,Does not use TEST_CASE macros (older style / inconsistent). | No main() (relies on external runner).,137,97,4,0.04,False,False,0,0,False,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide. Add the standard conditional main() block (guarded by ENABLE_TEST_APPLICATION) or ensure the test runner provides main consistently.,P2
tests/test_Stacktrace.cpp,test_cpp,Stacktrace,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness.,Does not use TEST_CASE macros (older style / inconsistent). | No main() (relies on external runner).,76,51,2,0.038,False,False,0,0,False,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide. Add the standard conditional main() block (guarded by ENABLE_TEST_APPLICATION) or ensure the test runner provides main consistently.,P2
tests/test_StateMachine.cpp,test_cpp,StateMachine,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness.,Does not use TEST_CASE macros (older style / inconsistent). | No main() (relies on external runner).,1078,705,116,0.141,False,False,0,0,True,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide. Add the standard conditional main() block (guarded by ENABLE_TEST_APPLICATION) or ensure the test runner provides main consistently.,P2
tests/test_Stringify.cpp,test_cpp,Stringify,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness. | Provides ENABLE_TEST_APPLICATION main().,Does not use TEST_CASE macros (older style / inconsistent).,1397,909,179,0.165,False,False,0,0,True,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide.,P2
tests/test_TensorEinsum.cpp,test_cpp,TensorEinsum,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness.,Does not use TEST_CASE macros (older style / inconsistent). | No main() (relies on external runner).,373,197,79,0.286,False,False,0,0,False,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide. Add the standard conditional main() block (guarded by ENABLE_TEST_APPLICATION) or ensure the test runner provides main consistently.,P2
tests/test_TensorStorage.cpp,test_cpp,TensorStorage,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness.,Does not use TEST_CASE macros (older style / inconsistent). | No main() (relies on external runner).,339,219,39,0.151,False,False,0,0,False,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide. Add the standard conditional main() block (guarded by ENABLE_TEST_APPLICATION) or ensure the test runner provides main consistently.,P2
tests/test_TypeTraits.cpp,test_cpp,TypeTraits,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness. | Provides ENABLE_TEST_APPLICATION main().,Does not use TEST_CASE macros (older style / inconsistent).,901,788,22,0.027,False,False,0,0,True,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide.,P2
tests/test_ValueGuard.cpp,test_cpp,ValueGuard,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness. | Provides ENABLE_TEST_APPLICATION main().,Does not use TEST_CASE macros (older style / inconsistent).,1313,849,181,0.176,False,False,0,0,True,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide.,P2
tests/test_AdaptiveIterator.h,test_header,AdaptiveIterator,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,9,5,1,0.167,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_AllocationStrategies.h,test_header,AllocationStrategies,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,8,5,0,0.0,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_AsyncOperations.h,test_header,AsyncOperations,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,8,5,0,0.0,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_CSRMatrix.h,test_header,CSRMatrix,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,8,5,0,0.0,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_CacheUtilities.h,test_header,CacheUtilities,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,8,5,0,0.0,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_ConcurrencyPolicies.h,test_header,ConcurrencyPolicies,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,8,5,0,0.0,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_ConstexprUtilities.h,test_header,ConstexprUtilities,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,8,5,0,0.0,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_CoroutineTask.h,test_header,CoroutineTask,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,8,5,0,0.0,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_DiagnosticLogger_ScopeGuard.h,test_header,DiagnosticLogger_ScopeGuard,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,23,5,15,0.75,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_Enforce.h,test_header,Enforce,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,13,5,4,0.444,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_EnforcedInit.h,test_header,EnforcedInit,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,"Does not use TEST_CASE macros (older style / inconsistent). | No main() (relies on external runner). | Verified passing runtime in tests.txt (Windows/MSVC, C++17) on 2025-12-28; matrix compile-gate note was stale. Re-run C++17/C++20 compile check.",8,5,0,0.0,True,False,0,0,False,0,,,,,,,,,,,internal-only,Modernize this test to use TEST_CASE macros and/or align with the common RUN_TEST/TestRunner harness. Avoid printing confusing PASS/FAIL-like lines unless part of a deliberate self-test. Re-run C++17/C++20 compile gates on the current codebase; prior 'broken' status was stale.,P1
tests/test_EnhancedBoundsChecking.h,test_header,EnhancedBoundsChecking,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,8,5,0,0.0,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_Factory.h,test_header,Factory,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,8,5,0,0.0,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_IdGenerator.h,test_header,IdGenerator,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,7,4,0,0.0,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_IntrusiveList.h,test_header,IntrusiveList,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,8,5,0,0.0,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_LockFreeQueue.h,test_header,LockFreeQueue,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,8,5,0,0.0,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_LockFreeRingBuffer.h,test_header,LockFreeRingBuffer,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,8,5,0,0.0,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_MemoryMappedFile.h,test_header,MemoryMappedFile,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,8,5,0,0.0,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_NumaAllocator.h,test_header,NumaAllocator,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,8,5,0,0.0,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_ObjectPool.h,test_header,ObjectPool,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,8,5,0,0.0,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_PipeOperator.h,test_header,PipeOperator,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,8,5,0,0.0,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_RCU_integration.h,test_header,RCU_integration,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,8,5,0,0.0,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_RateLimiter.h,test_header,RateLimiter,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,8,5,0,0.0,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_Reflection.h,test_header,Reflection,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,8,5,0,0.0,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_ScopeGuard.h,test_header,ScopeGuard,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,23,5,15,0.75,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_ScopeGuardExpected.h,test_header,ScopeGuardExpected,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,19,5,11,0.688,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_SparseSet.h,test_header,SparseSet,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,8,5,0,0.0,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_Stacktrace.h,test_header,Stacktrace,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,8,5,0,0.0,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_StateMachine.h,test_header,StateMachine,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,9,5,1,0.167,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_Tensor.h,test_header,Tensor,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,8,5,0,0.0,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_TensorEinsum.h,test_header,TensorEinsum,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,8,5,0,0.0,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_TensorMath.h,test_header,TensorMath,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,8,5,0,0.0,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
tests/test_TensorStorage.h,test_header,TensorStorage,Needs cleanup,Has #pragma once. | Declares bool test_*() entrypoint.,Missing ENABLE_TEST_APPLICATION conditional guard (style guide mismatch).,9,6,0,0.0,True,False,0,0,False,0,,,,,,,,,,,internal-only,"Wrap test-header contents behind the standard test-build guard (e.g., ENABLE_TEST_APPLICATION) so headers cannot be accidentally included in non-test builds; ensure guard is consistent across all test headers.",P2
fat_p/ConstexprUtilities.h,library_header,ConstexprUtilities,Needs cleanup,Has #pragma once. | No non-FATP_ macros exported. | Docs exist (name match count=2). | Has a dedicated test_*.cpp.,C++20 path fails constexpr hashing in test_ConstexprUtilities.cpp.,1060,622,338,0.352,True,False,0,2,False,0,2.0,1.0,2.0,0.0,,,,,,,API risk,Avoid making constexpr_hash consteval when the API is expected to work at runtime; either keep it constexpr in C++20 or provide separate consteval-only overloads. Update tests to use static_assert for compile-time cases.,P3
fat_p/CoroutineTask.h,library_header,CoroutineTask,Prototype/Experimental,Has #pragma once. | No non-FATP_ macros exported. | Has a dedicated test_*.cpp.,"No doc file name matches this component (docs may exist elsewhere). | C++20 coroutine task tests fail (Expected<T,E> T==E when T=std::string; also Task alias conflicts with ThreadPool::Task).",420,240,102,0.298,True,False,0,0,False,0,0.0,1.0,2.0,0.0,,,,,,,API risk,"Resolve name collision with ThreadPool::Task by renaming the top-level alias (e.g., CoTask / CoroutineTaskT) or placing coroutine aliases into a sub-namespace. Also avoid Expected<T,E> with T==E (std::string) by using a distinct error type (e.g., Error{std::string msg} or Status+message). Add/enable C++20-only tests and ensure include-all compiles under C++20.",P3
fat_p/StringPool.h,library_header,StringPool,Needs cleanup,Has #pragma once. | No non-FATP_ macros exported. | Docs exist (name match count=2). | Has a dedicated test_*.cpp.,"C++20 generic unordered lookup path fails: StringEqual missing (string,string) overload; breaks FatPJson/StringPool tests.",585,301,214,0.416,True,False,0,3,False,0,2.0,1.0,2.0,0.0,,,,,,,API risk,"Fix transparent lookup path: provide key_equal overloads for (std::string,std::string) in addition to string_view combinations; ensure unordered_set/unordered_map requirements are satisfied. Add C++20 build/test coverage for the transparent lookup configuration.",P3
fat_p/ThreadPool.h,library_header,ThreadPool,Needs cleanup,Has #pragma once. | No non-FATP_ macros exported. | Docs exist (name match count=2). | Has a dedicated test_*.cpp.,C++20 include-all test fails due to name collision with CoroutineTask's `Task` alias.,739,397,257,0.393,True,False,0,0,False,0,2.0,1.0,2.0,0.0,,,,,,,API risk,"Cleanup to match library hygiene guidelines: self-contained includes, no global side effects, stable API surface.",P3
